id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
304589,1,158,157,157,158,62981,62984,900110,"2021-10-12 09:00:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304588,1,157,157,157,157,10009,72993,900110,"2021-10-12 09:01:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304587,1,157,157,157,157,0,72993,900110,"2021-10-12 09:02:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304586,1,157,157,157,157,0,72993,900110,"2021-10-12 09:03:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304585,1,157,156,156,157,1551,74544,900110,"2021-10-12 09:04:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304584,1,157,157,157,157,1,74545,900110,"2021-10-12 09:05:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304583,1,156,156,156,156,18,74563,900110,"2021-10-12 09:06:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304582,1,156,156,156,156,15040,89603,900110,"2021-10-12 09:07:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304581,1,156,156,156,156,12800,102403,900110,"2021-10-12 09:08:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304580,1,156,156,156,156,7,102410,900110,"2021-10-12 09:09:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304579,1,156,156,156,156,5,102415,900110,"2021-10-12 09:10:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304578,1,156,156,156,156,0,102415,900110,"2021-10-12 09:11:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304577,1,155,155,155,155,22973,125388,900110,"2021-10-12 09:12:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304576,1,155,155,155,155,105,125493,900110,"2021-10-12 09:13:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304575,1,155,155,155,155,0,125493,900110,"2021-10-12 09:14:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304574,1,157,157,157,157,1,125494,900110,"2021-10-12 09:15:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304573,1,157,157,157,157,0,125494,900110,"2021-10-12 09:16:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304572,1,157,157,157,157,0,125494,900110,"2021-10-12 09:17:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304571,1,157,157,157,157,5,125499,900110,"2021-10-12 09:18:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304570,1,157,157,157,157,0,125499,900110,"2021-10-12 09:19:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304569,1,157,157,157,157,5,125504,900110,"2021-10-12 09:20:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304568,1,156,156,155,156,682,126186,900110,"2021-10-12 09:21:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304567,1,156,156,156,156,30,126216,900110,"2021-10-12 09:22:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304566,1,156,156,156,156,19,126235,900110,"2021-10-12 09:23:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304565,1,156,156,156,156,0,126235,900110,"2021-10-12 09:24:00","2022-11-09 09:51:08","2022-11-09 09:51:08"
304564,1,156,156,156,156,0,126235,900110,"2021-10-12 09:25:00","2022-11-09 09:51:07","2022-11-09 09:51:07"
304563,1,155,155,155,155,76,126311,900110,"2021-10-12 09:26:00","2022-11-09 09:51:07","2022-11-09 09:51:07"
304562,1,155,155,155,155,0,126311,900110,"2021-10-12 09:27:00","2022-11-09 09:51:07","2022-11-09 09:51:07"
304561,1,155,155,155,155,5656,131967,900110,"2021-10-12 09:28:00","2022-11-09 09:51:07","2022-11-09 09:51:07"
304560,1,155,155,155,155,0,131967,900110,"2021-10-12 09:29:00","2022-11-09 09:51:07","2022-11-09 09:51:07"
304559,1,155,155,155,155,8314,140281,900110,"2021-10-12 09:30:00","2022-11-09 09:51:07","2022-11-09 09:51:07"
304558,1,154,155,154,155,1126,141407,900110,"2021-10-12 09:31:00","2022-11-09 09:51:07","2022-11-09 09:51:07"
