id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
801550,1,700,691,691,715,154937,164017,065500,"2021-10-12 09:00:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801549,1,699,700,696,704,59871,223888,065500,"2021-10-12 09:01:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801548,1,687,699,687,699,66370,290258,065500,"2021-10-12 09:02:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801547,1,678,687,665,690,132102,422360,065500,"2021-10-12 09:03:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801546,1,687,678,667,687,33521,455881,065500,"2021-10-12 09:04:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801545,1,697,687,687,697,13508,469389,065500,"2021-10-12 09:05:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801544,1,706,697,693,707,52360,521749,065500,"2021-10-12 09:06:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801543,1,695,706,695,706,34320,556069,065500,"2021-10-12 09:07:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801542,1,690,695,690,695,6006,562075,065500,"2021-10-12 09:08:00","2022-11-10 05:33:27","2022-11-10 05:33:27"
801541,1,683,690,683,690,47629,609704,065500,"2021-10-12 09:09:00","2022-11-10 05:33:08","2022-11-10 05:33:08"
801540,1,691,689,681,693,27867,637571,065500,"2021-10-12 09:10:00","2022-11-10 05:33:07","2022-11-10 05:33:07"
801539,1,687,690,686,693,33892,671463,065500,"2021-10-12 09:11:00","2022-11-10 05:33:07","2022-11-10 05:33:07"
801538,1,690,688,687,690,33317,704780,065500,"2021-10-12 09:12:00","2022-11-10 05:33:07","2022-11-10 05:33:07"
801537,1,690,690,686,690,1143,705923,065500,"2021-10-12 09:13:00","2022-11-10 05:33:07","2022-11-10 05:33:07"
801536,1,683,687,682,687,23542,729465,065500,"2021-10-12 09:14:00","2022-11-10 05:33:07","2022-11-10 05:33:07"
801535,1,678,682,678,682,43212,772677,065500,"2021-10-12 09:15:00","2022-11-10 05:33:07","2022-11-10 05:33:07"
