id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
272527,1,13950,14150,13950,14150,2705,2705,000050,"2021-10-12 09:00:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272526,1,13950,13950,13950,13950,0,2705,000050,"2021-10-12 09:01:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272525,1,14050,14000,13950,14050,36,2741,000050,"2021-10-12 09:02:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272524,1,14050,14050,14050,14050,15,2756,000050,"2021-10-12 09:03:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272523,1,14050,14050,14050,14050,0,2756,000050,"2021-10-12 09:04:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272522,1,14050,14050,14050,14050,0,2756,000050,"2021-10-12 09:05:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272521,1,13900,13950,13900,13950,572,3328,000050,"2021-10-12 09:06:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272520,1,14050,14050,14050,14050,3,3331,000050,"2021-10-12 09:07:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272519,1,14050,14050,14050,14050,0,3331,000050,"2021-10-12 09:08:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272518,1,14050,14050,14050,14050,0,3331,000050,"2021-10-12 09:09:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272517,1,14050,14050,14050,14050,4,3335,000050,"2021-10-12 09:10:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272516,1,13800,13900,13750,13900,1449,4784,000050,"2021-10-12 09:11:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272515,1,13800,13800,13800,13800,86,4870,000050,"2021-10-12 09:12:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272514,1,13800,13800,13800,13800,0,4870,000050,"2021-10-12 09:13:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272513,1,13800,13800,13800,13800,300,5170,000050,"2021-10-12 09:14:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272512,1,13800,13800,13800,13800,44,5214,000050,"2021-10-12 09:15:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272511,1,13850,13800,13800,13850,261,5475,000050,"2021-10-12 09:16:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272510,1,13850,13850,13850,13850,90,5565,000050,"2021-10-12 09:17:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272509,1,13850,13850,13850,13850,140,5705,000050,"2021-10-12 09:18:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272508,1,13850,13850,13850,13850,33,5738,000050,"2021-10-12 09:19:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272507,1,13800,13800,13800,13800,265,6003,000050,"2021-10-12 09:20:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272506,1,13800,13800,13800,13800,0,6003,000050,"2021-10-12 09:21:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272505,1,13850,13850,13850,13850,85,6088,000050,"2021-10-12 09:22:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272504,1,13850,13850,13850,13850,2,6090,000050,"2021-10-12 09:23:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272503,1,13850,13850,13850,13850,11,6101,000050,"2021-10-12 09:24:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
272502,1,13800,13800,13800,13850,218,6319,000050,"2021-10-12 09:25:00","2022-11-09 09:40:27","2022-11-09 09:40:27"
